Unnamed: 0.1,Unnamed: 0,Title,Start,End,Description,Web Page,Media,Media Caption,Media Credit,Tag,Place,Location,Source,Source URL
13,13,广东省深圳市,11/29/2022,,网友投稿深圳的最新情况,,"<iframe src=""https://archive.org/embed/1597565637442048001"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-29 12:18:00,李老师不是你李老师 twitter@whyyoutouzhele,People,广东省深圳市,"22.546053546205247,114.0259736573215",,https://twitter.com/whyyoutouzhele/status/1597565637442048001#m
14,14,广东省广州市,11/29/2022,,"网友投稿称
11月29号下午  广州环市东路 广东广播电视台正门有人聚集被警方围住",,"<iframe src=""https://archive.org/embed/1597563870876688384"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-29 12:11:00,李老师不是你李老师 twitter@whyyoutouzhele,People,广东省广州市,"23.12004910207623,113.30764967515182",,https://twitter.com/whyyoutouzhele/status/1597563870876688384#m
15,15,广东省广州市天河区,11/29/2022,,"广州市天河区前进街道某小区 七点半左右
民众要求出小区，与社区人员争论。",,"<iframe src=""https://archive.org/embed/1597560517174128643"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-29 11:58:00,李老师不是你李老师 twitter@whyyoutouzhele,People,广东省广州市天河区,"23.166129265424512,113.3856428913265",,https://twitter.com/whyyoutouzhele/status/1597560517174128643#m
16,16,上海市上海市,11/29/2022,,今晚 上海地铁 民警正在挨个查手机,,"<iframe src=""https://archive.org/embed/1597547110970560514"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-29 11:04:00,李老师不是你李老师 twitter@whyyoutouzhele,People,上海市上海市,"31.24916171001514,121.48789948569473",,https://twitter.com/whyyoutouzhele/status/1597547110970560514#m
17,17,山东省济南市历下区,11/29/2022,,"济南历下区 城基中心 天阶泓都国际小区
此刻 ，民众正在与防疫人员发生冲突",,"<iframe src=""https://archive.org/embed/1597539988643942400"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-29 10:36:00,李老师不是你李老师 twitter@whyyoutouzhele,People,山东省济南市历下区,"36.65933857710188,117.1015857968503",,https://twitter.com/whyyoutouzhele/status/1597539988643942400#m
18,18,上海市上海市公安县,11/29/2022,,上海市闵行公安分局微信群截图 要求明天白天全员在岗，晚上二分之一在岗,,"<iframe src=""https://archive.org/embed/1597539596853968896"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-29 10:34:00,李老师不是你李老师 twitter@whyyoutouzhele,People,上海市上海市公安县,"31.288767,121.4468107",,https://twitter.com/whyyoutouzhele/status/1597539596853968896#m
19,19,广东省广州市荔湾区,11/29/2022,,"11月29号下午 广州市荔湾区环市西路
市民反对封控",,"<iframe src=""https://archive.org/embed/1597538063999467520"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-29 10:28:00,李老师不是你李老师 twitter@whyyoutouzhele,People,广东省广州市荔湾区,"23.09366620364441,113.23442278391128",,https://twitter.com/whyyoutouzhele/status/1597538063999467520#m
20,20,广东省深圳市,11/29/2022,,"深圳 各大重要地标已经聚集大量警力
有投稿人称 有民警在路边随机询问年轻人",,"<iframe src=""https://archive.org/embed/1597521345516298241"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-29 09:22:00,李老师不是你李老师 twitter@whyyoutouzhele,People,广东省深圳市,"22.546053546205247,114.0259736573215",,https://twitter.com/whyyoutouzhele/status/1597521345516298241#m
21,21,广东省深圳市,11/29/2022,,深圳地铁于下午两点起部分站台停运,,"<iframe src=""https://archive.org/embed/1597512047901937664"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-29 08:45:00,李老师不是你李老师 twitter@whyyoutouzhele,People,广东省深圳市,"22.546053546205247,114.0259736573215",,https://twitter.com/whyyoutouzhele/status/1597512047901937664#m
22,22,北京市亮马桥,11/29/2022,,"网友投稿 
27日晚 亮马桥补充视频
现场一名男子称自己刚刚收到消息，现场有境外反华势力
随即被周围人回呛",,https://video.twimg.com/ext_tw_video/1597389608635047936/pu/vid/1280x720/KZlwgr2WIGFA-iao.mp4?tag=12,2022-11-29 12:41:00,李老师不是你李老师 twitter@whyyoutouzhele,People,北京市亮马桥,"39.9482568,116.4562709",,https://twitter.com/whyyoutouzhele/status/1597390217253904384#m
23,23,江苏省徐州市,11/28/2022,,"徐州 网传今晚在街上出现坦克
原因未知。",,"<iframe src=""https://archive.org/embed/irb04UWQAI3Vr_"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 08:46:00,李老师不是你李老师 twitter@whyyoutouzhele,People,江苏省徐州市,"34.27155343109188,117.18810662317686",,https://twitter.com/whyyoutouzhele/status/1597331128566050816#m
24,24,湖南大学,11/28/2022,,今天下午5点50分左右 湖南大学东方红广场有人举白纸抗议 五分钟后被现场安保人员带离。,,"<iframe src=""https://archive.org/embed/iqYSQcWAAMPnZx"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 03:50:00,李老师不是你李老师 twitter@whyyoutouzhele,Student,湖南大学,"28.1815633594814, 112.95355298350323",,https://twitter.com/whyyoutouzhele/status/1597256737564037121#m
25,25,浙江省杭州市,11/28/2022,,"杭州 in77 今晚 时间未知
一个民众与现场的保安及特警交谈
安保说自己一天200多",,https://video.twimg.com/ext_tw_video/1597250309516042246/pu/vid/540x960/iG6O8ab34mJU99YT.mp4?tag=12,2022-11-28 03:29:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597251293852053504#m
26,26,浙江杭州 银泰in77,11/28/2022,,22:30左右银泰in77萨莉亚地上入口区域一位带花静坐的女士被包围。周围被隔开,,"<iframe src=""https://archive.org/embed/iqJ2cxXoAAfqay"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 02:47:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江杭州 银泰in77,"30.2573896,120.15875599598763",,https://twitter.com/whyyoutouzhele/status/1597240649161797632#m
27,27,广东省广州市,11/28/2022,,广州,,https://video.twimg.com/ext_tw_video/1597327784019378176/pu/vid/720x1280/K22fQKIGxWbxdixk.mp4?tag=12,2022-11-28 08:33:00,李老师不是你李老师 twitter@whyyoutouzhele,People,广东省广州市,"23.12004910207623,113.30764967515182",,https://twitter.com/whyyoutouzhele/status/1597327949191335938#m
28,28,浙江省杭州市,11/28/2022,,杭州 in77,,https://video.twimg.com/ext_tw_video/1597243587212808193/pu/vid/960x544/Hjyu7GaahRPn0k_m.mp4?tag=12,2022-11-28 03:00:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597243963664015361#m
29,29,浙江省杭州市,11/28/2022,,杭州 in77 现场被抓的人掉落的伞,,"<iframe src=""https://archive.org/embed/iqFlr_XgAEf1ss"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 02:28:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597235982234812416#m
30,30,浙江省杭州市,11/28/2022,,"杭州 in77 民众要求放人 
现场哭声一片
被抓的人大喊 救救我",,https://video.twimg.com/ext_tw_video/1597233621928218628/pu/vid/848x464/yRX1BJ7t8SAWHH6h.mp4?tag=12,2022-11-28 02:20:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597233885053857798#m
31,31,浙江省杭州市,11/28/2022,,杭州 in77 最新消息，在喊完放人之后又有人被抓,,https://video.twimg.com/ext_tw_video/1597230569938616323/pu/vid/720x1280/4ym6UpiyfZgLxPwz.mp4?tag=12,2022-11-28 02:07:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597230750436274178#m
32,32,浙江省杭州市,11/28/2022,,杭州 in77 最新消息,,"<iframe src=""https://archive.org/embed/ip9TB7WQAA7is9"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 01:52:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597226831304069120#m
33,33,浙江省杭州市,11/28/2022,,突发！杭州 in77 现场有民众聚集要求放人,,https://video.twimg.com/ext_tw_video/1597223636255084544/pu/vid/1280x720/MZq_3ycaeptykEjk.mp4?tag=12,2022-11-28 01:39:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597223689652932608#m
34,34,浙江杭州 银泰in77,11/28/2022,,in77 5分钟前 警察开始劝离民众,,https://video.twimg.com/ext_tw_video/1597223358067777543/pu/vid/720x1280/7fLfZcVJHKluIwhu.mp4?tag=12,2022-11-28 01:38:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江杭州 银泰in77,"30.2573896,120.15875599598763",,https://twitter.com/whyyoutouzhele/status/1597223443975770114#m
35,35,济南大学,11/28/2022,,济南大学 二食堂 今晚,,https://video.twimg.com/ext_tw_video/1597222245142827008/pu/vid/720x1280/qTcGu4BkAK1Ny3de.mp4?tag=12,2022-11-28 01:34:00,李老师不是你李老师 twitter@whyyoutouzhele,Student,济南大学,"36.68278472716141,117.02496706629024",,https://twitter.com/whyyoutouzhele/status/1597222288960548864#m
